【84V10】高等学校学習指導要領（平成30年告示及び一部改正）コード表　Ver 1.0,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,15,"１　各学校の教育目標と教育課程の編成
教育課程の編成に当たっては，学校教育全体や各教科・科目等における指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに，教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，第４章の第２の１に基づき定められる目標との関連を図るものとする。",8400000210000000
総則,16,２　教科等横断的な視点に立った資質・能力の育成,8400000220000000
総則,17,(1) 各学校においては，生徒の発達の段階を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科・科目等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。,8400000221000000
総則,18,(2) 各学校においては，生徒や学校，地域の実態及び生徒の発達の段階を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。,8400000222000000
総則,19,３　教育課程の編成における共通的事項,8400000230000000
総則,20,(1) 各教科・科目及び単位数等,8400000231000000
総則,21,"ア　卒業までに履修させる単位数等
各学校においては，卒業までに履修させるイからオまでに示す各教科・科目及びその単位数，総合的な探究の時間の単位数並びに特別活動及びその授業時数に関する事項を定めるものとする。この場合，各教科・科目及び総合的な探究の時間の単位数の計は，(2)のア，イ及びウの(ｱ)に掲げる各教科・科目の単位数並びに総合的な探究の時間の単位数を含めて74単位以上とする。
単位については，１単位時間を50分とし，35単位時間の授業を１単位として計算することを標準とする。ただし，通信制の課程においては，５に定めるところによるものとする。",8400000231100000
総則,22,"イ　各学科に共通する各教科・科目及び総合的な探究の時間並びに標準単位数
各学校においては，教育課程の編成に当たって，次の表に掲げる各教科・科目及び総合的な探究の時間並びにそれぞれの標準単位数を踏まえ，生徒に履修させる各教科・科目及び総合的な探究の時間並びにそれらの単位数について適切に定めるものとする。ただし，生徒の実態等を考慮し，特に必要がある場合には，標準単位数の標準の限度を超えて単位数を増加して配当することができる。",8400000231200000
総則,23,"【摘要】教科等（科目：標準単位数）
国語（現代の国語：２,言語文化：２,論理国語：４,文学国語：４,国語表現：４,古典探究：４）
地理歴史（地理総合：２,地理探究：３,歴史総合：２,日本史探究：３,世界史探究：３）
公民（公共：２,倫理：２,政治・経済：２）
数学（数学Ⅰ：３,数学Ⅱ：４,数学Ⅲ：３,数学Ａ：２,数学Ｂ：２,数学Ｃ：２）
理科（科学と人間生活：２,物理基礎：２,物理：４,化学基礎：２,化学：４,生物基礎：２,生物：４,地学基礎：２,地学：４）
保健体育（体育：７～８,保健：２）
芸術（音楽Ⅰ：２,音楽Ⅱ：２,音楽Ⅲ：２,美術Ⅰ：２,美術Ⅱ：２,美術Ⅲ：２,工芸Ⅰ：２,工芸Ⅱ：２,工芸Ⅲ：２,書道Ⅰ：２,書道Ⅱ：２,書道Ⅲ：２）
外国語（英語コミュニケーションⅠ：３,英語コミュニケーションⅡ：４,英語コミュニケーションⅢ：４,論理・表現Ⅰ：２,論理・表現Ⅱ：２,論理・表現Ⅲ：２）
家庭（家庭基礎：２,家庭総合：４）
情報（情報Ⅰ：２,情報Ⅱ：２）
理数（理数探究基礎：１,理数探究：２～５）
総合的な探求の時間（　：３～６）",8400000231210000
総則,24,"ウ　主として専門学科において開設される各教科・科目
各学校においては，教育課程の編成に当たって，次の表に掲げる主として専門学科（専門教育を主とする学科をいう。以下同じ。）において開設される各教科・科目及び設置者の定めるそれぞれの標準単位数を踏まえ，生徒に履修させる各教科・科目及びその単位数について適切に定めるものとする。",8400000231300000
総則,25,農業（農業と環境，課題研究，総合実習，農業と情報，作物，野菜，果樹，草花，畜産，栽培と環境，飼育と環境，農業経営，農業機械，植物バイオテクノロジー，食品製造，食品化学，食品微生物，食品流通，森林科学，森林経営，林産物利用，農業土木設計，農業土木施工，水循環，造園計画，造園施工管理，造園植栽，測量，生物活用，地域資源活用）,8400000231301000
総則,26,工業（工業技術基礎，課題研究，実習，製図，工業情報数理，工業材料技術，工業技術英語，工業管理技術，工業環境技術，機械工作，機械設計，原動機，電子機械，生産技術，自動車工学，自動車整備，船舶工学，電気回路，電気機器，電力技術，電子技術，電子回路，電子計測制御，通信技術，プログラミング技術，ハードウェア技術，ソフトウェア技術，コンピュータシステム技術，建築構造，建築計画，建築構造設計，建築施工，建築法規，設備計画，空気調和設備，衛生・防災設備，測量，土木基盤力学，土木構造設計，土木施工，社会基盤工学，工業化学，化学工学，地球環境化学，材料製造技術，材料工学，材料加工，セラミック化学，セラミック技術，セラミック工業，繊維製品，繊維・染色技術，染織デザイン，インテリア計画，インテリア装備，インテリアエレメント生産，デザイン実践，デザイン材料，デザイン史）,8400000231302000
総則,27,商業（ビジネス基礎，課題研究，総合実践，ビジネス・コミュニケーション，マーケティング，商品開発と流通，観光ビジネス，ビジネス・マネジメント，グローバル経済，ビジネス法規，簿記，財務会計Ⅰ，財務会計Ⅱ，原価計算，管理会計，情報処理，ソフトウェア活用，プログラミング，ネットワーク活用，ネットワーク管理）,8400000231303000
総則,28,水産（水産海洋基礎，課題研究，総合実習，海洋情報技術，水産海洋科学，漁業，航海・計器，船舶運用，船用機関，機械設計工作，電気理論，移動体通信工学，海洋通信技術，資源増殖，海洋生物，海洋環境，小型船舶，食品製造，食品管理，水産流通，ダイビング，マリンスポーツ）,8400000231304000
総則,29,家庭（生活産業基礎，課題研究，生活産業情報，消費生活，保育基礎，保育実践，生活と福祉，住生活デザイン，服飾文化，ファッション造形基礎，ファッション造形，ファッションデザイン，服飾手芸，フードデザイン，食文化，調理，栄養，食品，食品衛生，公衆衛生，総合調理実習）,8400000231305000
総則,30,看護（基礎看護，人体の構造と機能，疾病の成り立ちと回復の促進，健康支援と社会保障制度，成人看護，老年看護，小児看護，母性看護，精神看護，在宅看護，看護の統合と実践，看護臨地実習，看護情報）,8400000231306000
総則,31,情報（情報産業と社会，課題研究，情報の表現と管理，情報テクノロジー，情報セキュリティ，情報システムのプログラミング，ネットワークシステム，データベース，情報デザイン，コンテンツの制作と発信，メディアとサービス，情報実習）,8400000231307000
総則,32,福祉（社会福祉基礎，介護福祉基礎，コミュニケーション技術，生活支援技術，介護過程，介護総合演習，介護実習，こころとからだの理解，福祉情報）,8400000231308000
総則,33,理数（理数数学Ⅰ，理数数学Ⅱ，理数数学特論，理数物理，理数化学，理数生物，理数地学）,8400000231309000
総則,34,体育（スポーツ概論，スポーツⅠ，スポーツⅡ，スポーツⅢ，スポーツⅣ，スポーツⅤ，スポーツⅥ，スポーツ総合演習）,8400000231310000
総則,35,音楽（音楽理論，音楽史，演奏研究，ソルフェージュ，声楽，器楽，作曲，鑑賞研究）,8400000231311000
総則,36,美術（美術概論，美術史，鑑賞研究，素描，構成，絵画，版画，彫刻，ビジュアルデザイン，クラフトデザイン，情報メディアデザイン，映像表現，環境造形）,8400000231312000
総則,37,英語（総合英語Ⅰ，総合英語Ⅱ，総合英語Ⅲ，ディベート・ディスカッションⅠ，ディベート・ディスカッションⅡ，エッセイライティングⅠ，エッセイライティングⅡ）,8400000231313000
総則,38,"エ　学校設定科目
学校においては，生徒や学校，地域の実態及び学科の特色等に応じ，特色ある教育課程の編成に資するよう，イ及びウの表に掲げる教科について，これらに属する科目以外の科目（以下「学校設定科目」という。）を設けることができる。この場合において，学校設定科目の名称，目標，内容，単位数等については，その科目の属する教科の目標に基づき，高等学校教育としての水準の確保に十分配慮し，各学校の定めるところによるものとする。",8400000231400000
総則,39,オ　学校設定教科,8400000231500000
総則,40,(ｱ) 学校においては，生徒や学校，地域の実態及び学科の特色等に応じ，特色ある教育課程の編成に資するよう，イ及びウの表に掲げる教科以外の教科（以下「学校設定教科」という。）及び当該教科に関する科目を設けることができる。この場合において，学校設定教科及び当該教科に関する科目の名称，目標，内容，単位数等については，高等学校教育の目標に基づき，高等学校教育としての水準の確保に十分配慮し，各学校の定めるところによるものとする。,8400000231510000
総則,41,(ｲ) 学校においては，学校設定教科に関する科目として「産業社会と人間」を設けることができる。この科目の目標，内容，単位数等を各学校において定めるに当たっては，産業社会における自己の在り方生き方について考えさせ，社会に積極的に寄与し，生涯にわたって学習に取り組む意欲や態度を養うとともに，生徒の主体的な各教科・科目の選択に資するよう，就業体験活動等の体験的な学習や調査・研究などを通して，次のような事項について指導することに配慮するものとする。,8400000231520000
総則,42,㋐社会生活や職業生活に必要な基本的な能力や態度及び望ましい勤労観，職業観の育成,8400000231521000
総則,43,㋑我が国の産業の発展とそれがもたらした社会の変化についての考察,8400000231522000
総則,44,㋒自己の将来の生き方や進路についての考察及び各教科・科目の履修計画の作成,8400000231523000
総則,45,(2) 各教科・科目の履修等,8400000232000000
総則,46,ア　各学科に共通する必履修教科・科目及び総合的な探究の時間,8400000232100000
総則,47,(ｱ) 全ての生徒に履修させる各教科・科目（以下「必履修教科・科目」という。）は次のとおりとし，その単位数は，(1)のイに標準単位数として示された単位数を下らないものとする。ただし，生徒の実態及び専門学科の特色等を考慮し，特に必要がある場合には，「数学Ⅰ」及び「英語コミュニケーションⅠ」については２単位とすることができ，その他の必履修教科・科目（標準単位数が２単位であるものを除く。）についてはその単位数の一部を減じることができる。,8400000232110000
総則,48,㋐国語のうち「現代の国語」及び「言語文化」,8400000232111000
総則,49,㋑地理歴史のうち「地理総合」及び「歴史総合」,8400000232112000
総則,50,㋒公民のうち「公共」,8400000232113000
総則,51,㋓数学のうち「数学Ⅰ」,8400000232114000
総則,52,㋔理科のうち「科学と人間生活」，「物理基礎」，「化学基礎」，「生物基礎」及び「地学基礎」のうちから２科目（うち１科目は「科学と人間生活」とする。）又は「物理基礎」，「化学基礎」，「生物基礎」及び「地学基礎」のうちから３科目,8400000232115000
総則,53,㋕保健体育のうち「体育」及び「保健」,8400000232116000
総則,54,㋖芸術のうち「音楽Ⅰ」，「美術Ⅰ」，「工芸Ⅰ」及び「書道Ⅰ」のうちから１科目,8400000232117000
総則,55,㋗外国語のうち「英語コミュニケーションⅠ」（英語以外の外国語を履修する場合は，学校設定科目として設ける１科目とし，その標準単位数は３単位とする。）,8400000232118000
総則,56,㋘家庭のうち「家庭基礎」及び「家庭総合」のうちから１科目,8400000232119000
総則,57,㋙情報のうち「情報Ⅰ」,840000023211A000
総則,58,(ｲ) 総合的な探究の時間については，全ての生徒に履修させるものとし，その単位数は，(1)のイに標準単位数として示された単位数の下限を下らないものとする。ただし，特に必要がある場合には，その単位数を２単位とすることができる。,8400000232120000
総則,59,(ｳ) 外国の高等学校に留学していた生徒について，外国の高等学校における履修により，必履修教科・科目又は総合的な探究の時間の履修と同様の成果が認められる場合においては，外国の高等学校における履修をもって相当する必履修教科・科目又は総合的な探究の時間の履修の一部又は全部に替えることができる。,8400000232130000
総則,60,"イ　専門学科における各教科・科目の履修
専門学科における各教科・科目の履修については，アのほか次のとおりとする。",8400000232200000
総則,61,(ｱ) 専門学科においては，専門教科・科目（(1)のウの表に掲げる各教科・科目，同表に掲げる教科に属する学校設定科目及び専門教育に関する学校設定教科に関する科目をいう。以下同じ。）について，全ての生徒に履修させる単位数は，25単位を下らないこと。ただし，商業に関する学科においては，上記の単位数の中に外国語に属する科目の単位を５単位まで含めることができること。また，商業に関する学科以外の専門学科においては，各学科の目標を達成する上で，専門教科・科目以外の各教科・科目の履修により，専門教科・科目の履修と同様の成果が期待できる場合においては，その専門教科・科目以外の各教科・科目の単位を５単位まで上記の単位数の中に含めることができること。,8400000232210000
総則,62,(ｲ) 専門教科・科目の履修によって，アの必履修教科・科目の履修と同様の成果が期待できる場合においては，その専門教科・科目の履修をもって，必履修教科・科目の履修の一部又は全部に替えることができること。,8400000232220000
総則,63,(ｳ) 職業教育を主とする専門学科においては，総合的な探究の時間の履修により，農業，工業，商業，水産，家庭若しくは情報の各教科の「課題研究」，看護の「看護臨地実習」又は福祉の「介護総合演習」（以下「課題研究等」という。）の履修と同様の成果が期待できる場合においては，総合的な探究の時間の履修をもって課題研究等の履修の一部又は全部に替えることができること。また，課題研究等の履修により，総合的な探究の時間の履修と同様の成果が期待できる場合においては，課題研究等の履修をもって総合的な探究の時間の履修の一部又は全部に替えることができること。,8400000232230000
総則,64,"ウ　総合学科における各教科・科目の履修等
総合学科における各教科・科目の履修等については，アのほか次のとおりとする。",8400000232300000
総則,65,(ｱ) 総合学科においては，(1)のオの(ｲ)に掲げる「産業社会と人間」を全ての生徒に原則として入学年次に履修させるものとし，標準単位数は２～４単位とすること。,8400000232310000
総則,66,(ｲ) 総合学科においては，学年による教育課程の区分を設けない課程（以下「単位制による課程」という。）とすることを原則とするとともに，「産業社会と人間」及び専門教科・科目を合わせて25単位以上設け，生徒が多様な各教科・科目から主体的に選択履修できるようにすること。その際，生徒が選択履修するに当たっての指針となるよう，体系性や専門性等において相互に関連する各教科・科目によって構成される科目群を複数設けるとともに，必要に応じ，それら以外の各教科・科目を設け，生徒が自由に選択履修できるようにすること。,8400000232320000
総則,67,(3) 各教科・科目等の授業時数等,8400000233000000
総則,68,ア　全日制の課程における各教科・科目及びホームルーム活動の授業は，年間35週行うことを標準とし，必要がある場合には，各教科・科目の授業を特定の学期又は特定の期間（夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含む。）に行うことができる。,8400000233100000
総則,69,イ　全日制の課程における週当たりの授業時数は，30単位時間を標準とする。ただし，必要がある場合には，これを増加することができる。,8400000233200000
総則,70,ウ　定時制の課程における授業日数の季節的配分又は週若しくは１日当たりの授業時数については，生徒の勤労状況と地域の諸事情等を考慮して，適切に定めるものとする。,8400000233300000
総則,71,エ　ホームルーム活動の授業時数については，原則として，年間35単位時間以上とするものとする。,8400000233400000
総則,72,オ　生徒会活動及び学校行事については，学校の実態に応じて，それぞれ適切な授業時数を充てるものとする。,8400000233500000
総則,73,カ　定時制の課程において，特別の事情がある場合には，ホームルーム活動の授業時数の一部を減じ，又はホームルーム活動及び生徒会活動の内容の一部を行わないものとすることができる。,8400000233600000
総則,74,キ　各教科・科目等のそれぞれの授業の１単位時間は，各学校において，各教科・科目等の授業時数を確保しつつ，生徒の実態及び各教科・科目等の特質を考慮して適切に定めるものとする。,8400000233700000
総則,75,ク　各教科・科目等の特質に応じ，10分から15分程度の短い時間を活用して特定の各教科・科目等の指導を行う場合において，当該各教科・科目等を担当する教師が単元や題材など内容や時間のまとまりを見通した中で，その指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該各教科・科目等の授業時数に含めることができる。,8400000233800000
総則,76,ケ　総合的な探究の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な探究の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,8400000233900000
総則,77,コ　理数の「理数探究基礎」又は「理数探究」の履修により，総合的な探究の時間の履修と同様の成果が期待できる場合においては，「理数探究基礎」又は「理数探究」の履修をもって総合的な探究の時間の履修の一部又は全部に替えることができる。,8400000233A00000
総則,78,"(4) 選択履修の趣旨を生かした適切な教育課程の編成
教育課程の編成に当たっては，生徒の特性，進路等に応じた適切な各教科・科目の履修ができるようにし，このため，多様な各教科・科目を設け生徒が自由に選択履修することのできるよう配慮するものとする。また，教育課程の類型を設け，そのいずれかの類型を選択して履修させる場合においても，その類型において履修させることになっている各教科・科目以外の各教科・科目を履修させたり，生徒が自由に選択履修することのできる各教科・科目を設けたりするものとする。",8400000234000000
総則,79,(5) 各教科・科目等の内容等の取扱い,8400000235000000
総則,80,ア　学校においては，第２章以下に示していない事項を加えて指導することができる。また，第２章以下に示す内容の取扱いのうち内容の範囲や程度等を示す事項は，当該科目を履修する全ての生徒に対して指導するものとする内容の範囲や程度等を示したものであり，学校において必要がある場合には，この事項にかかわらず指導することができる。ただし，これらの場合には，第２章以下に示す教科，科目及び特別活動の目標や内容の趣旨を逸脱したり，生徒の負担が過重となったりすることのないようにするものとする。,8400000235100000
総則,81,イ　第２章以下に示す各教科・科目及び特別活動の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。,8400000235200000
総則,82,ウ　学校においては，あらかじめ計画して，各教科・科目の内容及び総合的な探究の時間における学習活動を学期の区分に応じて単位ごとに分割して指導することができる。,8400000235300000
総則,83,エ　学校においては，特に必要がある場合には，第２章及び第３章に示す教科及び科目の目標の趣旨を損なわない範囲内で，各教科・科目の内容に関する事項について，基礎的・基本的な事項に重点を置くなどその内容を適切に選択して指導することができる。,8400000235400000
総則,84,"(6) 指導計画の作成に当たって配慮すべき事項
各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。",8400000236000000
総則,85,ア　各教科・科目等の指導内容については，単元や題材など内容や時間のまとまりを見通しながら，そのまとめ方や重点の置き方に適切な工夫を加え，第３款の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して資質・能力を育む効果的な指導ができるようにすること。,8400000236100000
総則,86,イ　各教科・科目等について相互の関連を図り，系統的，発展的な指導ができるようにすること。,8400000236200000
総則,87,(7) キャリア教育及び職業教育に関して配慮すべき事項,8400000237000000
総則,88,ア　学校においては，第５款の１に示すキャリア教育及び職業教育を推進するために，生徒の特性や進路，学校や地域の実態等を考慮し，地域や産業界等との連携を図り，産業現場等における長期間の実習を取り入れるなどの就業体験活動の機会を積極的に設けるとともに，地域や産業界等の人々の協力を積極的に得るよう配慮するものとする。,8400000237100000
総則,89,イ　普通科においては，生徒の特性や進路，学校や地域の実態等を考慮し，必要に応じて，適切な職業に関する各教科・科目の履修の機会の確保について配慮するものとする。,8400000237200000
総則,90,ウ　職業教育を主とする専門学科においては，次の事項に配慮するものとする。,8400000237300000
総則,91,(ｱ) 職業に関する各教科・科目については，実験・実習に配当する授業時数を十分確保するようにすること。,8400000237310000
総則,92,(ｲ) 生徒の実態を考慮し，職業に関する各教科・科目の履修を容易にするため特別な配慮が必要な場合には，各分野における基礎的又は中核的な科目を重点的に選択し，その内容については基礎的・基本的な事項が確実に身に付くように取り扱い，また，主として実験・実習によって指導するなどの工夫をこらすようにすること。,8400000237320000
総則,93,エ　職業に関する各教科・科目については，次の事項に配慮するものとする。,8400000237400000
総則,94,(ｱ) 職業に関する各教科・科目については，就業体験活動をもって実習に替えることができること。この場合，就業体験活動は，その各教科・科目の内容に直接関係があり，かつ，その一部としてあらかじめ計画し，評価されるものであることを要すること。,8400000237410000
総則,95,(ｲ) 農業，水産及び家庭に関する各教科・科目の指導に当たっては，ホームプロジェクト並びに学校家庭クラブ及び学校農業クラブなどの活動を活用して，学習の効果を上げるよう留意すること。この場合，ホームプロジェクトについては，その各教科・科目の授業時数の10分の２以内をこれに充てることができること。,8400000237420000
総則,96,(ｳ) 定時制及び通信制の課程において，職業に関する各教科・科目を履修する生徒が，現にその各教科・科目と密接な関係を有する職業（家事を含む。）に従事している場合で，その職業における実務等が，その各教科・科目の一部を履修した場合と同様の成果があると認められるときは，その実務等をもってその各教科・科目の履修の一部に替えることができること。,8400000237430000
総則,97,"４　学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学校段階等間の接続を図るものとする。",8400000240000000
総則,98,(1) 現行の中学校学習指導要領を踏まえ，中学校教育までの学習の成果が高等学校教育に円滑に接続され，高等学校教育段階の終わりまでに育成することを目指す資質・能力を，生徒が確実に身に付けることができるよう工夫すること。特に，中等教育学校，連携型高等学校及び併設型高等学校においては，中等教育６年間を見通した計画的かつ継続的な教育課程を編成すること。,8400000241000000
総則,99,(2) 生徒や学校の実態等に応じ，必要がある場合には，例えば次のような工夫を行い，義務教育段階での学習内容の確実な定着を図るようにすること。,8400000242000000
総則,100,ア　各教科・科目の指導に当たり，義務教育段階での学習内容の確実な定着を図るための学習機会を設けること。,8400000242100000
総則,101,イ　義務教育段階での学習内容の確実な定着を図りながら，必履修教科・科目の内容を十分に習得させることができるよう，その単位数を標準単位数の標準の限度を超えて増加して配当すること。,8400000242200000
総則,102,ウ　義務教育段階での学習内容の確実な定着を図ることを目標とした学校設定科目等を履修させた後に，必履修教科・科目を履修させるようにすること。,8400000242300000
総則,103,(3) 大学や専門学校等における教育や社会的・職業的自立，生涯にわたる学習のために，高等学校卒業以降の教育や職業との円滑な接続が図られるよう，関連する教育機関や企業等との連携により，卒業後の進路に求められる資質・能力を着実に育成することができるよう工夫すること。,8400000243000000
総則,104,"５　通信制の課程における教育課程の特例
通信制の課程における教育課程については，１から４まで（３の(3)，(4)並びに(7)のエの(ｱ)及び(ｲ)を除く。）並びに第１款及び第３款から第７款までに定めるところによるほか，次に定めるところによる。",8400000250000000
総則,105,(1) 各教科・科目の添削指導の回数及び面接指導の単位時間（１単位時間は，50分として計算するものとする。以下同じ。）数の標準は，１単位につき次の表のとおりとする。,8400000251000000
総則,106,"国語，地理歴史，公民及び数学に属する科目（添削指導３回，面接指導１（単位時間））
理科に属する科目（添削指導３回，面接指導４（単位時間））
保健体育に属する科目のうち「体育」（添削指導１回，面接指導５（単位時間））
保健体育に属する科目のうち「保健」（添削指導３回，面接指導１（単位時間））
芸術及び外国語に属する科目（添削指導３回，面接指導４（単位時間））
家庭及び情報に属する科目並びに専門教科・科目（添削指導は各教科・科目の必要に応じて２～３回，面接指導は各教科・科目の必要に応じて２～８（単位時間））",8400000251100000
総則,107,(2) 学校設定教科に関する科目のうち専門教科・科目以外のものの添削指導の回数及び面接指導の単位時間数については，１単位につき，それぞれ１回以上及び１単位時間以上を確保した上で，各学校が適切に定めるものとする。,8400000252000000
総則,108,(3) 理数に属する科目及び総合的な探究の時間の添削指導の回数及び面接指導の単位時間数については，１単位につき，それぞれ１回以上及び１単位時間以上を確保した上で，各学校において，学習活動に応じ適切に定めるものとする。,8400000253000000
総則,109,(4) 各学校における面接指導の１回あたりの時間は，各学校において，(1)から(3)までの標準を踏まえ，各教科・科目及び総合的な探究の時間の面接指導の単位時間数を確保しつつ，生徒の実態並びに各教科・科目及び総合的な探究の時間の特質を考慮して適切に定めるものとする。,8400000254000000
総則,110,"(5) 学校が，その指導計画に，各教科・科目又は特別活動について体系的に行われるラジオ放送，テレビ放送その他の多様なメディアを利用して行う学習を計画的かつ継続的に取り入れた場合で，生徒がこれらの方法により学習し，報告課題の作成等により，その成果が満足できると認められるときは，その生徒について，その各教科・科目の面接指導の時間数又は特別活動の時間数（以下「面接指導等時間数」という。）のうち，10分の６以内の時間数を免除することができる。また，生徒の実態等を考慮して特に必要がある場合は，面接指導等時間数のうち，複数のメディアを利用することにより，各メディアごとにそれぞれ10分の６以内の時間数を免除することができる。ただし，免除する時間数は，合わせて10分の８を超えることができない。
なお，生徒の面接指導等時間数を免除しようとする場合には，本来行われるべき学習の量と質を低下させることがないよう十分配慮しなければならない。",8400000255000000
総則,111,(6) 特別活動については，ホームルーム活動を含めて，各々の生徒の卒業までに30単位時間以上指導するものとする。なお，特別の事情がある場合には，ホームルーム活動及び生徒会活動の内容の一部を行わないものとすることができる。,8400000256000000
総則,112,第３款　教育課程の実施と学習評価,8400000300000000
総則,113,"１　主体的・対話的で深い学びの実現に向けた授業改善
各教科・科目等の指導に当たっては，次の事項に配慮するものとする。",8400000310000000
