【83V11】中学校学習指導要領（平成29年告示）コード表　Ver 1.1,,,
教科等,No,学習指導要領テキスト,学習指導要領コード
総則,11,(3) 学びに向かう力，人間性等を涵養すること。,8300000133000000
総則,12,４　各学校においては，生徒や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。,8300000140000000
総則,13,第２　教育課程の編成,8300000200000000
総則,14,"１　各学校の教育目標と教育課程の編成
　教育課程の編成に当たっては，学校教育全体や各教科等における指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに，教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，第４章総合的な学習の時間の第２の１に基づき定められる目標との関連を図るものとする。",8300000210000000
総則,15,２　教科等横断的な視点に立った資質・能力の育成,8300000220000000
総則,16,(1) 各学校においては，生徒の発達の段階を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。,8300000221000000
総則,17,(2) 各学校においては，生徒や学校，地域の実態及び生徒の発達の段階を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。,8300000222000000
総則,18,３　教育課程の編成における共通的事項,8300000230000000
総則,19,(1) 内容等の取扱い,8300000231000000
総則,20,ア　第２章以下に示す各教科，道徳科及び特別活動の内容に関する事項は，特に示す場合を除き，いずれの学校においても取り扱わなければならない。,8300000231100000
総則,21,イ　学校において特に必要がある場合には，第２章以下に示していない内容を加えて指導することができる。また，第２章以下に示す内容の取扱いのうち内容の範囲や程度等を示す事項は，全ての生徒に対して指導するものとする内容の範囲や程度等を示したものであり，学校において特に必要がある場合には，この事項にかかわらず加えて指導することができる。ただし，これらの場合には，第２章以下に示す各教科，道徳科及び特別活動の目標や内容の趣旨を逸脱したり，生徒の負担過重となったりすることのないようにしなければならない。,8300000231200000
総則,22,ウ　第２章以下に示す各教科，道徳科及び特別活動の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。,8300000231300000
総則,23,エ　学校において２以上の学年の生徒で編制する学級について特に必要がある場合には，各教科の目標の達成に支障のない範囲内で，各教科の目標及び内容について学年別の順序によらないことができる。,8300000231400000
総則,24,オ　各学校においては，生徒や学校，地域の実態を考慮して，生徒の特性等に応じた多様な学習活動が行えるよう，第２章に示す各教科や，特に必要な教科を，選択教科として開設し生徒に履修させることができる。その場合にあっては，全ての生徒に指導すべき内容との関連を図りつつ，選択教科の授業時数及び内容を適切に定め選択教科の指導計画を作成し，生徒の負担加重となることのないようにしなければならない。また，特に必要な教科の名称，目標，内容などについては，各学校が適切に定めるものとする。　 ,8300000231500000
総則,25,カ　道徳科を要として学校の教育活動全体を通じて行う道徳教育の内容は，第３章特別の教科道徳の第２に示す内容とし，その実施に当たっては，第６に示す道徳教育に関する配慮事項を踏まえるものとする。,8300000231600000
総則,26,(2) 授業時数等の取扱い,8300000232000000
総則,27,ア　各教科等の授業は，年間35週以上にわたって行うよう計画し，週当たりの授業時数が生徒の負担過重にならないようにするものとする。ただし，各教科等や学習活動の特質に応じ効果的な場合には，夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含め，これらの授業を特定の期間に行うことができる。,8300000232100000
総則,28,イ　特別活動の授業のうち，生徒会活動及び学校行事については，それらの内容に応じ，年間，学期ごと，月ごとなどに適切な授業時数を充てるものとする。,8300000232200000
総則,29,ウ　各学校の時間割については，次の事項を踏まえ適切に編成するものとする。,8300000232300000
総則,30,(ｱ) 各教科等のそれぞれの授業の１単位時間は，各学校において，各教科等の年間授業時数を確保しつつ，生徒の発達の段階及び各教科等や学習活動の特質を考慮して適切に定めること。,8300000232310000
総則,31,(ｲ) 各教科等の特質に応じ，10分から15分程度の短い時間を活用して特定の教科等の指導を行う場合において，当該教科等を担当する教師が，単元や題材など内容や時間のまとまりを見通した中で，その指導内容の決定や指導の成果の把握と活用等を責任を持って行う体制が整備されているときは，その時間を当該教科等の年間授業時数に含めることができること。 ,8300000232320000
総則,32,(ｳ) 給食，休憩などの時間については，各学校において工夫を加え，適切に定めること。,8300000232330000
総則,33,(ｴ) 各学校において，生徒や学校，地域の実態，各教科等や学習活動の特質等に応じて，創意工夫を生かした時間割を弾力的に編成できること。,8300000232340000
総則,34,エ　総合的な学習の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,8300000232400000
総則,35,"(3) 指導計画の作成等に当たっての配慮事項
　各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。",8300000233000000
総則,36,ア　各教科等の指導内容については，(1)のアを踏まえつつ，単元や題材など内容や時間のまとまりを見通しながら，そのまとめ方や重点の置き方に適切な工夫を加え，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して資質・能力を育む効果的な指導ができるようにすること。,8300000233100000
総則,37,イ　各教科等及び各学年相互間の関連を図り，系統的，発展的な指導ができるようにすること。,8300000233200000
総則,38,"４　学校段階間の接続
　教育課程の編成に当たっては，次の事項に配慮しながら，学校段階間の接続を図るものとする。",8300000240000000
総則,39,(1) 小学校学習指導要領を踏まえ，小学校教育までの学習の成果が中学校教育に円滑に接続され，義務教育段階の終わりまでに育成することを目指す資質・能力を，生徒が確実に身に付けることができるよう工夫すること。特に，義務教育学校，小学校連携型中学校及び小学校併設型中学校においては，義務教育９年間を見通した計画的かつ継続的な教育課程を編成すること。,8300000241000000
総則,40,(2) 高等学校学習指導要領を踏まえ，高等学校教育及びその後の教育との円滑な接続が可能となるよう工夫すること。特に，中等教育学校，連携型中学校及び併設型中学校においては，中等教育６年間を見通した計画的かつ継続的な教育課程を編成すること。,8300000242000000
総則,41,第３　教育課程の実施と学習評価,8300000300000000
総則,42,"１　主体的・対話的で深い学びの実現に向けた授業改善
　各教科等の指導に当たっては，次の事項に配慮するものとする。",8300000310000000
総則,43,"(1) 第１の３の(1)から(3)までに示すことが偏りなく実現されるよう，単元や題材など内容や時間のまとまりを見通しながら，生徒の主体的・対話的で深い学びの実現に向けた授業改善を行うこと。
　特に，各教科等において身に付けた知識及び技能を活用したり，思考力，判断力，表現力等や学びに向かう力，人間性等を発揮させたりして，学習の対象となる物事を捉え思考することにより，各教科等の特質に応じた物事を捉える視点や考え方（以下「見方・考え方」という。）が鍛えられていくことに留意し，生徒が各教科等の特質に応じた見方・考え方を働かせながら，知識を相互に関連付けてより深く理解したり，情報を精査して考えを形成したり，問題を見いだして解決策を考えたり，思いや考えを基に創造したりすることに向かう過程を重視した学習の充実を図ること。",8300000311000000
総則,44,(2) 第２の２の(1)に示す言語能力の育成を図るため，各学校において必要な言語環境を整えるとともに，国語科を要としつつ各教科等の特質に応じて，生徒の言語活動を充実すること。あわせて，(7)に示すとおり読書活動を充実すること。,8300000312000000
総則,45,(3) 第２の２の(1)に示す情報活用能力の育成を図るため，各学校において，コンピュータや情報通信ネットワークなどの情報手段を活用するために必要な環境を整え，これらを適切に活用した学習活動の充実を図ること。また，各種の統計資料や新聞，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。,8300000313000000
総則,46,(4) 生徒が学習の見通しを立てたり学習したことを振り返ったりする活動を，計画的に取り入れるように工夫すること。,8300000314000000
総則,47,(5) 生徒が生命の有限性や自然の大切さ，主体的に挑戦してみることや多様な他者と協働することの重要性などを実感しながら理解することができるよう，各教科等の特質に応じた体験活動を重視し，家庭や地域社会と連携しつつ体系的・継続的に実施できるよう工夫すること。,8300000315000000
総則,48,(6) 生徒が自ら学習課題や学習活動を選択する機会を設けるなど，生徒の興味・関心を生かした自主的，自発的な学習が促されるよう工夫すること。,8300000316000000
総則,49,(7) 学校図書館を計画的に利用しその機能の活用を図り，生徒の主体的・対話的で深い学びの実現に向けた授業改善に生かすとともに，生徒の自主的，自発的な学習活動や読書活動を充実すること。また，地域の図書館や博物館，美術館，劇場，音楽堂等の施設の活用を積極的に図り，資料を活用した情報の収集や鑑賞等の学習活動を充実すること。,8300000317000000
総則,50,"２　学習評価の充実
　学習評価の実施に当たっては，次の事項に配慮するものとする。",8300000320000000
総則,51,(1) 生徒のよい点や進歩の状況などを積極的に評価し，学習したことの意義や価値を実感できるようにすること。また，各教科等の目標の実現に向けた学習状況を把握する観点から，単元や題材など内容や時間のまとまりを見通しながら評価の場面や方法を工夫して，学習の過程や成果を評価し，指導の改善や学習意欲の向上を図り，資質・能力の育成に生かすようにすること。,8300000321000000
総則,52,(2) 創意工夫の中で学習評価の妥当性や信頼性が高められるよう，組織的かつ計画的な取組を推進するとともに，学年や学校段階を越えて生徒の学習の成果が円滑に接続されるように工夫すること。,8300000322000000
総則,53,第４　生徒の発達の支援,8300000400000000
総則,54,"１　生徒の発達を支える指導の充実
　教育課程の編成及び実施に当たっては，次の事項に配慮するものとする。",8300000410000000
総則,55,(1) 学習や生活の基盤として，教師と生徒との信頼関係及び生徒相互のよりよい人間関係を育てるため，日頃から学級経営の充実を図ること。また，主に集団の場面で必要な指導や援助を行うガイダンスと，個々の生徒の多様な実態を踏まえ，一人一人が抱える課題に個別に対応した指導を行うカウンセリングの双方により，生徒の発達を支援すること。,8300000411000000
総則,56,(2) 生徒が，自己の存在感を実感しながら，よりよい人間関係を形成し，有意義で充実した学校生活を送る中で，現在及び将来における自己実現を図っていくことができるよう，生徒理解を深め，学習指導と関連付けながら，生徒指導の充実を図ること。,8300000412000000
総則,57,(3) 生徒が，学ぶことと自己の将来とのつながりを見通しながら，社会的・職業的自立に向けて必要な基盤となる資質・能力を身に付けていくことができるよう，特別活動を要としつつ各教科等の特質に応じて，キャリア教育の充実を図ること。その中で，生徒が自らの生き方を考え主体的に進路を選択することができるよう，学校の教育活動全体を通じ，組織的かつ計画的な進路指導を行うこと。,8300000413000000
総則,58,(4) 生徒が，基礎的・基本的な知識及び技能の習得も含め，学習内容を確実に身に付けることができるよう，生徒や学校の実態に応じ，個別学習やグループ別学習，繰り返し学習，学習内容の習熟の程度に応じた学習，生徒の興味・関心等に応じた課題学習，補充的な学習や発展的な学習などの学習活動を取り入れることや，教師間の協力による指導体制を確保することなど，指導方法や指導体制の工夫改善により，個に応じた指導の充実を図ること。その際，第３の１の(3)に示す情報手段や教材・教具の活用を図ること。,8300000414000000
総則,59,２　特別な配慮を必要とする生徒への指導,8300000420000000
総則,60,(1) 障害のある生徒などへの指導,8300000421000000
総則,61,ア　障害のある生徒などについては，特別支援学校等の助言又は援助を活用しつつ，個々の生徒の障害の状態等に応じた指導内容や指導方法の工夫を組織的かつ計画的に行うものとする。,8300000421100000
総則,62,イ　特別支援学級において実施する特別の教育課程については，次のとおり編成するものとする。,8300000421200000
総則,63,(ｱ) 障害による学習上又は生活上の困難を克服し自立を図るため，特別支援学校小学部・中学部学習指導要領第７章に示す自立活動を取り入れること。,8300000421210000
総則,64,(ｲ) 生徒の障害の程度や学級の実態等を考慮の上，各教科の目標や内容を下学年の教科の目標や内容に替えたり，各教科を，知的障害者である生徒に対する教育を行う特別支援学校の各教科に替えたりするなどして，実態に応じた教育課程を編成すること。,8300000421220000
総則,65,ウ　障害のある生徒に対して，通級による指導を行い，特別の教育課程を編成する場合には，特別支援学校小学部・中学部学習指導要領第７章に示す自立活動の内容を参考とし，具体的な目標や内容を定め，指導を行うものとする。その際，効果的な指導が行われるよう，各教科等と通級による指導との関連を図るなど，教師間の連携に努めるものとする。,8300000421300000
総則,66,エ　障害のある生徒などについては，家庭，地域及び医療や福祉，保健，労働等の業務を行う関係機関との連携を図り，長期的な視点で生徒への教育的支援を行うために，個別の教育支援計画を作成し活用することに努めるとともに，各教科等の指導に当たって，個々の生徒の実態を的確に把握し，個別の指導計画を作成し活用することに努めるものとする。特に，特別支援学級に在籍する生徒や通級による指導を受ける生徒については，個々の生徒の実態を的確に把握し，個別の教育支援計画や個別の指導計画を作成し，効果的に活用するものとする。,8300000421400000
総則,67,(2) 海外から帰国した生徒などの学校生活への適応や，日本語の習得に困難のある生徒に対する日本語指導,8300000422000000
総則,68,ア　海外から帰国した生徒などについては，学校生活への適応を図るとともに，外国における生活経験を生かすなどの適切な指導を行うものとする。,8300000422100000
総則,69,イ　日本語の習得に困難のある生徒については，個々の生徒の実態に応じた指導内容や指導方法の工夫を組織的かつ計画的に行うものとする。特に，通級による日本語指導については，教師間の連携に努め，指導についての計画を個別に作成することなどにより，効果的な指導に努めるものとする。,8300000422200000
総則,70,(3) 不登校生徒への配慮,8300000423000000
総則,71,ア　不登校生徒については，保護者や関係機関と連携を図り，心理や福祉の専門家の助言又は援助を得ながら，社会的自立を目指す観点から，個々の生徒の実態に応じた情報の提供その他の必要な支援を行うものとする。,8300000423100000
総則,72,イ　相当の期間中学校を欠席し引き続き欠席すると認められる生徒を対象として，文部科学大臣が認める特別の教育課程を編成する場合には，生徒の実態に配慮した教育課程を編成するとともに，個別学習やグループ別学習など指導方法や指導体制の工夫改善に努めるものとする。,8300000423200000
総則,73,(4) 学齢を経過した者への配慮,8300000424000000
総則,74,ア　夜間その他の特別の時間に授業を行う課程において学齢を経過した者を対象として特別の教育課程を編成する場合には，学齢を経過した者の年齢，経験又は勤労状況その他の実情を踏まえ，中学校教育の目的及び目標並びに第２章以下に示す各教科等の目標に照らして，中学校教育を通じて育成を目指す資質・能力を身に付けることができるようにするものとする。,8300000424100000
総則,75,イ　学齢を経過した者を教育する場合には，個別学習やグループ別学習など指導方法や指導体制の工夫改善に努めるものとする。,8300000424200000
総則,76,第５　学校運営上の留意事項,8300000500000000
総則,77,１　教育課程の改善と学校評価，教育課程外の活動との連携等,8300000510000000
総則,78,ア　各学校においては，校長の方針の下に，校務分掌に基づき教職員が適切に役割を分担しつつ，相互に連携しながら，各学校の特色を生かしたカリキュラム・マネジメントを行うよう努めるものとする。また，各学校が行う学校評価については，教育課程の編成，実施，改善が教育活動や学校運営の中核となることを踏まえつつ，カリキュラム・マネジメントと関連付けながら実施するよう留意するものとする。,8300000511000000
総則,79,イ　教育課程の編成及び実施に当たっては，学校保健計画，学校安全計画，食に関する指導の全体計画，いじめの防止等のための対策に関する基本的な方針など，各分野における学校の全体計画等と関連付けながら，効果的な指導が行われるように留意するものとする。,8300000512000000
総則,80,ウ　教育課程外の学校教育活動と教育課程の関連が図られるように留意するものとする。特に，生徒の自主的，自発的な参加により行われる部活動については，スポーツや文化，科学等に親しませ，学習意欲の向上や責任感，連帯感の涵養等，学校教育が目指す資質・能力の育成に資するものであり，学校教育の一環として，教育課程との関連が図られるよう留意すること。その際，学校や地域の実態に応じ，地域の人々の協力，社会教育施設や社会教育関係団体等の各種団体との連携などの運営上の工夫を行い，持続可能な運営体制が整えられるようにするものとする。,8300000513000000
総則,81,"２　家庭や地域社会との連携及び協働と学校間の連携
　教育課程の編成及び実施に当たっては，次の事項に配慮するものとする。",8300000520000000
総則,82,ア　学校がその目的を達成するため，学校や地域の実態等に応じ，教育活動の実施に必要な人的又は物的な体制を家庭や地域の人々の協力を得ながら整えるなど，家庭や地域社会との連携及び協働を深めること。また，高齢者や異年齢の子供など，地域における世代を越えた交流の機会を設けること。,8300000521000000
総則,83,イ　他の中学校や，幼稚園，認定こども園，保育所，小学校，高等学校，特別支援学校などとの間の連携や交流を図るとともに，障害のある幼児児童生徒との交流及び共同学習の機会を設け，共に尊重し合いながら協働して生活していく態度を育むよう努めること。,8300000522000000
総則,84,"第６　道徳教育に関する配慮事項
　道徳教育を進めるに当たっては，道徳教育の特質を踏まえ，前項までに示す事項に加え，次の事項に配慮するものとする。",8300000600000000
総則,85,１　各学校においては，第１の２の(2)に示す道徳教育の目標を踏まえ，道徳教育の全体計画を作成し，校長の方針の下に，道徳教育の推進を主に担当する教師（以下「道徳教育推進教師」という。）を中心に，全教師が協力して道徳教育を展開すること。なお，道徳教育の全体計画の作成に当たっては，生徒や学校，地域の実態を考慮して，学校の道徳教育の重点目標を設定するとともに，道徳科の指導方針，第３章特別の教科道徳の第２に示す内容との関連を踏まえた各教科，総合的な学習の時間及び特別活動における指導の内容及び時期並びに家庭や地域社会との連携の方法を示すこと。,8300000610000000
総則,86,２　各学校においては，生徒の発達の段階や特性等を踏まえ，指導内容の重点化を図ること。その際，小学校における道徳教育の指導内容を更に発展させ，自立心や自律性を高め，規律ある生活をすること，生命を尊重する心や自らの弱さを克服して気高く生きようとする心を育てること，法やきまりの意義に関する理解を深めること，自らの将来の生き方を考え主体的に社会の形成に参画する意欲と態度を養うこと，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること，国際社会に生きる日本人としての自覚を身に付けることに留意すること。,8300000620000000
総則,87,３　学校や学級内の人間関係や環境を整えるとともに，職場体験活動やボランティア活動，自然体験活動，地域の行事への参加などの豊かな体験を充実すること。また，道徳教育の指導内容が，生徒の日常生活に生かされるようにすること。その際，いじめの防止や安全の確保等にも資することとなるよう留意すること。,8300000630000000
総則,88,４　学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。,8300000640000000
各教科,89,第２章　各教科,83n0000000000000
国語,90,第１節　国語,8310000000000000
国語,91,"第１　目標
言葉による見方・考え方を働かせ，言語活動を通して，国語で正確に理解し適切に表現する資質・能力を次のとおり育成することを目指す。",8310100000000000
国語,92,(1) 社会生活に必要な国語について，その特質を理解し適切に使うことができるようにする。,8310100100000000
国語,93,(2) 社会生活における人との関わりの中で伝え合う力を高め，思考力や想像力を養う。,8310100200000000
国語,94,(3) 言葉がもつ価値を認識するとともに，言語感覚を豊かにし，我が国の言語文化に関わり，国語を尊重してその能力の向上を図る態度を養う。,8310100300000000
国語,95,第２　各学年の目標及び内容　　,8310200000000000
国語,96,〔第１学年〕,8310210000000000
国語,97,１　目標,8310212000000000
国語,98,(1) 社会生活に必要な国語の知識や技能を身に付けるとともに，我が国の言語文化に親しんだり理解したりすることができるようにする。,8310212100000000
国語,99,(2) 筋道立てて考える力や豊かに感じたり想像したりする力を養い，日常生活における人との関わりの中で伝え合う力を高め，自分の思いや考えを確かなものにすることができるようにする。,8310212200000000
国語,100,(3) 言葉がもつ価値に気付くとともに，進んで読書をし，我が国の言語文化を大切にして，思いや考えを伝え合おうとする態度を養う。,8310212300000000
国語,101,２　内容,8310213000000000
国語,102,〔知識及び技能〕,8310213100000000
国語,103,(1) 言葉の特徴や使い方に関する次の事項を身に付けることができるよう指導する。,8310213110000000
国語,104,ア　音声の働きや仕組みについて，理解を深めること。　,8310213111000000
国語,105,イ　小学校学習指導要領第２章第１節国語の学年別漢字配当表（以下「学年別漢字配当表」という。）に示されている漢字に加え，その他の常用漢字のうち300字程度から400字程度までの漢字を読むこと。また，学年別漢字配当表の漢字のうち900字程度の漢字を書き，文や文章の中で使うこと。,8310213112000000
国語,106,ウ　事象や行為，心情を表す語句の量を増すとともに，語句の辞書的な意味と文脈上の意味との関係に注意して話や文章の中で使うことを通して，語感を磨き語彙を豊かにすること。,8310213113000000
国語,107,エ　単語の類別について理解するとともに，指示する語句と接続する語句の役割について理解を深めること。,8310213114000000
国語,108,オ　比喩，反復，倒置，体言止めなどの表現の技法を理解し使うこと。,8310213115000000
国語,109,(2) 話や文章に含まれている情報の扱い方に関する次の事項を身に付けることができるよう指導する。,8310213120000000
国語,110,ア　原因と結果，意見と根拠など情報と情報との関係について理解すること。,8310213121000000
国語,111,イ　比較や分類，関係付けなどの情報の整理の仕方，引用の仕方や出典の示し方について理解を深め，それらを使うこと。,8310213122000000
国語,112,(3) 我が国の言語文化に関する次の事項を身に付けることができるよう指導する。,8310213130000000
国語,113,ア　音読に必要な文語のきまりや訓読の仕方を知り，古文や漢文を音読し，古典特有のリズムを通して，古典の世界に親しむこと。,8310213131000000
国語,114,イ　古典には様々な種類の作品があることを知ること。,8310213132000000
国語,115,ウ　共通語と方言の果たす役割について理解すること。,8310213133000000
国語,116,エ　書写に関する次の事項を理解し使うこと。,8310213134000000
国語,117,(ｱ) 字形を整え，文字の大きさ，配列などについて理解して，楷書で書くこと。,8310213134100000
国語,118,(ｲ) 漢字の行書の基礎的な書き方を理解して，身近な文字を行書で書くこと。,8310213134200000
国語,119,オ　読書が，知識や情報を得たり，自分の考えを広げたりすることに役立つことを理解すること。,8310213135000000
国語,120,〔思考力，判断力，表現力等〕,8310213200000000
国語,121,Ａ　話すこと・聞くこと,8310213210000000
国語,122,(1) 話すこと・聞くことに関する次の事項を身に付けることができるよう指導する。,8310213211000000
国語,123,ア　目的や場面に応じて，日常生活の中から話題を決め，集めた材料を整理し，伝え合う内容を検討すること。,8310213211100000
国語,124,イ　自分の考えや根拠が明確になるように，話の中心的な部分と付加的な部分，事実と意見との関係などに注意して，話の構成を考えること。,8310213211200000
国語,125,ウ　相手の反応を踏まえながら，自分の考えが分かりやすく伝わるように表現を工夫すること。,8310213211300000
国語,126,エ　必要に応じて記録したり質問したりしながら話の内容を捉え，共通点や相違点などを踏まえて，自分の考えをまとめること。,8310213211400000
国語,127,オ　話題や展開を捉えながら話し合い，互いの発言を結び付けて考えをまとめること。,8310213211500000
国語,128,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,8310213212000000
国語,129,ア　紹介や報告など伝えたいことを話したり，それらを聞いて質問したり意見などを述べたりする活動。,8310213212100000
国語,130,イ　互いの考えを伝えるなどして，少人数で話し合う活動。　,8310213212200000
国語,131,Ｂ　書くこと,8310213220000000
国語,132,(1) 書くことに関する次の事項を身に付けることができるよう指導する。,8310213221000000
国語,133,ア　目的や意図に応じて，日常生活の中から題材を決め，集めた材料を整理し，伝えたいことを明確にすること。,8310213221100000
国語,134,イ　書く内容の中心が明確になるように，段落の役割などを意識して文章の構成や展開を考えること。,8310213221200000
国語,135,ウ　根拠を明確にしながら，自分の考えが伝わる文章になるように工夫すること。,8310213221300000
国語,136,エ　読み手の立場に立って，表記や語句の用法，叙述の仕方などを確かめて，文章を整えること。,8310213221400000
国語,137,オ　根拠の明確さなどについて，読み手からの助言などを踏まえ，自分の文章のよい点や改善点を見いだすこと。,8310213221500000
国語,138,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,8310213222000000
国語,139,ア　本や資料から文章や図表などを引用して説明したり記録したりするなど，事実やそれを基に考えたことを書く活動。,8310213222100000
国語,140,イ　行事の案内や報告の文章を書くなど，伝えるべきことを整理して書く活動。,8310213222200000
国語,141,ウ　詩を創作したり随筆を書いたりするなど，感じたことや考えたことを書く活動。,8310213222300000
国語,142,Ｃ　読むこと,8310213230000000
国語,143,(1) 読むことに関する次の事項を身に付けることができるよう指導する。,8310213231000000
国語,144,ア　文章の中心的な部分と付加的な部分，事実と意見との関係などについて叙述を基に捉え，要旨を把握すること。,8310213231100000
国語,145,イ　場面の展開や登場人物の相互関係，心情の変化などについて，描写を基に捉えること。,8310213231200000
国語,146,ウ　目的に応じて必要な情報に着目して要約したり，場面と場面，場面と描写などを結び付けたりして，内容を解釈すること。,8310213231300000
国語,147,エ　文章の構成や展開，表現の効果について，根拠を明確にして考えること。,8310213231400000
国語,148,オ　文章を読んで理解したことに基づいて，自分の考えを確かなものにすること。,8310213231500000
国語,149,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,8310213232000000
国語,150,ア　説明や記録などの文章を読み，理解したことや考えたことを報告したり文章にまとめたりする活動。,8310213232100000
国語,151,イ　小説や随筆などを読み，考えたことなどを記録したり伝え合ったりする活動。,8310213232200000
国語,152,ウ　学校図書館などを利用し，多様な情報を得て，考えたことなどを報告したり資料にまとめたりする活動。,8310213232300000
